source,state,county,species_or_flock_type,flock_size,hpai_strain,outbreak_date,date_detected,date_collected,date_confirmed,woah_classification,sampling_method,submitting_agency
APHIS - HPAI Detections in Wild Birds,Massachusetts,Nantucket,Osprey,,EA H5N1,,6/1/2022,5/2/2022,"",Wild bird,Morbidity/Mortality,Tufts University
APHIS - HPAI Detections in Wild Birds,Alaska,Nome,Glaucous gull,,EA H5N1,,7/18/2022,5/31/2022,"",Wild bird,Morbidity/Mortality,AK DFG/USFWS
APHIS - HPAI Detections in Wild Birds,Alaska,Northwest Arctic,Common raven,,EA/AM H5N1,,7/18/2022,7/8/2022,"",Wild bird,Morbidity/Mortality,AK DFG/USFWS
APHIS - HPAI Detections in Wild Birds,Alaska,North Slope,Snowy owl,,EA/AM H5N1,,7/27/2022,7/19/2022,"",Wild bird,Morbidity/Mortality,AK DFG/USFWS
APHIS - HPAI Detections in Wild Birds,Alaska,North Slope,Common raven,,EA H5N1,,7/27/2022,7/20/2022,"",Wild bird,Morbidity/Mortality,AK DFG/USFWS
APHIS - HPAI Detections in Wild Birds,Alaska,North Slope,Common raven,,EA/AM H5N1,,7/27/2022,7/20/2022,"",Wild bird,Morbidity/Mortality,AK DFG/USFWS
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA H5N1,,7/18/2022,7/9/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA/AM H5N1,,7/18/2022,7/6/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA/AM H5N1,,7/18/2022,7/10/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA/AM H5N1,,7/18/2022,7/10/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA/AM H5N1,,7/18/2022,7/8/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA/AM H5N1,,7/18/2022,7/8/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA/AM H5N1,,7/20/2022,7/12/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA/AM H5N1,,7/20/2022,7/12/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA/AM H5N1,,7/25/2022,7/14/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA/AM H5N1,,7/25/2022,7/17/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Volusia,Black vulture,,EA/AM H5N1,,7/25/2022,7/15/2022,"",Wild bird,Morbidity/Mortality,FL FWCC
APHIS - HPAI Detections in Wild Birds,Florida,Volusia,Black vulture,,EA/AM H5N1,,7/25/2022,7/15/2022,"",Wild bird,Morbidity/Mortality,FL FWCC
APHIS - HPAI Detections in Wild Birds,Florida,Orange,Black vulture,,EA/AM H5N1,,7/25/2022,7/20/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA H5N1,,8/1/2022,7/21/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA H5N1,,8/1/2022,7/23/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA H5N1,,8/1/2022,7/23/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA H5N1,,8/1/2022,7/25/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA H5N1,,8/1/2022,7/25/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Maryland,Anne Arundel,Black vulture,,EA H5N1,,5/24/2022,5/19/2022,"",Wild bird,Morbidity/Mortality,MD Dept of Ag
APHIS - HPAI Detections in Wild Birds,North Dakota,Benson,Hawk (unidentified),,EA/AM H5N1,,6/15/2022,6/8/2022,"",Wild bird,Morbidity/Mortality,ND Game and Fish
APHIS - HPAI Detections in Wild Birds,New York,Dutchess,Bald eagle,,EA H5N1,,7/18/2022,7/8/2022,"",Wild bird,Morbidity/Mortality,NY DEC
APHIS - HPAI Detections in Wild Birds,New York,Onondaga,Bald eagle,,EA/AM H5N1,,7/19/2022,7/13/2022,"",Wild bird,Morbidity/Mortality,NY DEC
APHIS - HPAI Detections in Wild Birds,New York,Oneida,Canada goose,,EA/AM H5N1,,7/22/2022,7/18/2022,"",Wild bird,Morbidity/Mortality,NY DEC
APHIS - HPAI Detections in Wild Birds,New York,Oneida,Canada goose,,EA H5N1,,7/22/2022,7/18/2022,"",Wild bird,Morbidity/Mortality,NY DEC
APHIS - HPAI Detections in Wild Birds,New York,Seneca,Eastern screech owl,,EA H5N1,,7/25/2022,6/21/2022,"",Wild bird,Morbidity/Mortality,NY DEC
APHIS - HPAI Detections in Wild Birds,New York,Jefferson,Caspian tern,,EA/AM H5N1,,7/25/2022,7/7/2022,"",Wild bird,Morbidity/Mortality,NY DEC
APHIS - HPAI Detections in Wild Birds,New York,Jefferson,Herring gull,,EA/AM H5N1,,7/25/2022,7/7/2022,"",Wild bird,Morbidity/Mortality,NY DEC
APHIS - HPAI Detections in Wild Birds,Oregon,Deschutes,Canada goose,,EA H5N1,,7/20/2022,7/11/2022,"",Wild bird,Morbidity/Mortality,OR DFW
APHIS - HPAI Detections in Wild Birds,Oregon,Deschutes,Canada goose,,EA/AM H5N1,,7/21/2022,7/14/2022,"",Wild bird,Morbidity/Mortality,OR DFW
APHIS - HPAI Detections in Wild Birds,Oregon,Lane,Canada goose,,EA H5N1,,7/21/2022,7/13/2022,"",Wild bird,Morbidity/Mortality,OR DFW
APHIS - HPAI Detections in Wild Birds,Oregon,Lane,Canada goose,,EA/AM H5N1,,7/21/2022,7/8/2022,"",Wild bird,Morbidity/Mortality,OR DFW
APHIS - HPAI Detections in Wild Birds,Oregon,Klamath,Great horned owl,,EA/AM H5N1,,7/27/2022,7/14/2022,"",Wild bird,Morbidity/Mortality,OR DFW
APHIS - HPAI Detections in Wild Birds,Oregon,Clackamas,Bald eagle,,EA H5N1,,7/28/2022,7/22/2022,"",Wild bird,Morbidity/Mortality,OR DFW
APHIS - HPAI Detections in Wild Birds,Oregon,Multnomah,Mallard,,EA H5N1,,7/28/2022,7/21/2022,"",Wild bird,Morbidity/Mortality,OR DFW
APHIS - HPAI Detections in Wild Birds,Oregon,Clackamas,Bald eagle,,EA H5N1,,7/28/2022,7/21/2022,"",Wild bird,Morbidity/Mortality,OR DFW
APHIS - HPAI Detections in Wild Birds,South Dakota,Kingsbury,Bald eagle,,EA H5N1,,5/6/2022,5/2/2022,"",Wild bird,Morbidity/Mortality,SD GFP
APHIS - HPAI Detections in Wild Birds,Utah,Salt Lake,Goose (unidentified),,EA H5N1,,5/27/2022,Unknown,"",Wild bird,Morbidity/Mortality,UT DWR
APHIS - HPAI Detections in Wild Birds,Utah,Salt Lake,Goose (unidentified),,EA H5N1,,7/6/2022,Unknown,"",Wild bird,Morbidity/Mortality,UT DWR
APHIS - HPAI Detections in Wild Birds,Utah,Salt Lake,Goose (unidentified),,EA/AM H5N1,,7/6/2022,Unknown,"",Wild bird,Morbidity/Mortality,UT DWR
APHIS - HPAI Detections in Wild Birds,Utah,Salt Lake,Goose (unidentified),,EA H5N1,,7/6/2022,Unknown,"",Wild bird,Morbidity/Mortality,UT DWR
APHIS - HPAI Detections in Wild Birds,Utah,Salt Lake,Goose (unidentified),,EA H5N1,,7/6/2022,Unknown,"",Wild bird,Morbidity/Mortality,UT DWR
APHIS - HPAI Detections in Wild Birds,Utah,Weber,Swainson's hawk,,EA/AM H5N1,,7/11/2022,7/5/2022,"",Wild bird,Morbidity/Mortality,UT DWR
APHIS - HPAI Detections in Wild Birds,Utah,Salt Lake,Swainson's hawk,,EA/AM H5N1,,7/19/2022,7/12/2022,"",Wild bird,Morbidity/Mortality,UT DWR
APHIS - HPAI Detections in Wild Birds,Washington,Benton,Mallard,,EA H5N1,,5/25/2022,4/19/2022,"",Wild bird,Morbidity/Mortality,WA DFW
APHIS - HPAI Detections in Wild Birds,Washington,Island,Trumpeter swan,,EA H5N1,,7/7/2022,6/15/2022,"",Wild bird,Morbidity/Mortality,WA DFW
APHIS - HPAI Detections in Wild Birds,Washington,Yakima,Goose (unidentified),,EA/AM H5N1,,7/27/2022,7/19/2022,"",Wild bird,Morbidity/Mortality,WA DFW
APHIS - HPAI Detections in Wild Birds,Wisconsin,Dane,Bald eagle,,EA/AM H5N1,,4/15/2022,4/9/2022,"",Wild bird,Morbidity/Mortality,WI DNR
APHIS - HPAI Detections in Wild Birds,California,Colusa,American white pelican,,EA/AM H5N1,,7/28/2022,7/19/2022,"",Wild bird,Morbidity/Mortality,NWDP
APHIS - HPAI Detections in Wild Birds,California,Colusa,American white pelican,,EA H5N1,,8/1/2022,7/27/2022,"",Wild bird,Morbidity/Mortality,NWDP
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA/AM H5N1,,8/3/2022,7/26/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA/AM H5N1,,8/3/2022,7/26/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA/AM H5N1,,8/3/2022,7/26/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,New Hampshire,Rockingham,Ring-billed gull,,EA H5N1,,7/7/2022,6/29/2022,"",Wild bird,Morbidity/Mortality,NWDP
APHIS - HPAI Detections in Wild Birds,New Hampshire,Rockingham,Great black-backed gull,,EA H5N1,,7/7/2022,6/29/2022,"",Wild bird,Morbidity/Mortality,NWDP
APHIS - HPAI Detections in Wild Birds,New Hampshire,Rockingham,Common eider,,EA H5N1,,7/7/2022,6/29/2022,"",Wild bird,Morbidity/Mortality,NWDP
APHIS - HPAI Detections in Wild Birds,New Hampshire,Rockingham,Great black-backed gull,,EA H5N1,,7/7/2022,6/29/2022,"",Wild bird,Morbidity/Mortality,NWDP
APHIS - HPAI Detections in Wild Birds,New Hampshire,Grafton,Herring gull,,EA H5N1,,7/7/2022,6/29/2022,"",Wild bird,Morbidity/Mortality,NWDP
APHIS - HPAI Detections in Wild Birds,California,Glenn,American white pelican,,EA/AM H5N1,,7/28/2022,7/19/2022,"",Wild bird,Morbidity/Mortality,NWDP
APHIS - HPAI Detections in Wild Birds,California,Glenn,Wood duck,,EA/AM H5N1,,7/28/2022,7/19/2022,"",Wild bird,Morbidity/Mortality,NWDP
APHIS - HPAI Detections in Wild Birds,California,Glenn,Canada goose,,EA H5N1,,7/28/2022,7/19/2022,"",Wild bird,Morbidity/Mortality,NWDP
APHIS - HPAI Detections in Wild Birds,California,Sonoma,Canada goose,,EA/AM H5N1,,7/21/2022,7/14/2022,"",Wild bird,Morbidity/Mortality,CA DFW/CAHFS
APHIS - HPAI Detections in Wild Birds,California,Sonoma,Canada goose,,EA/AM H5N1,,7/21/2022,7/14/2022,"",Wild bird,Morbidity/Mortality,CA DFW/CAHFS
APHIS - HPAI Detections in Wild Birds,California,Sonoma,Canada goose,,EA/AM H5N1,,7/28/2022,7/20/2022,"",Wild bird,Morbidity/Mortality,CA DFW/CAHFS
APHIS - HPAI Detections in Wild Birds,California,Sonoma,Canada goose,,EA/AM H5N1,,7/28/2022,7/20/2022,"",Wild bird,Morbidity/Mortality,CA DFW/CAHFS
APHIS - HPAI Detections in Wild Birds,California,Sonoma,Canada goose,,EA/AM H5N1,,7/28/2022,7/20/2022,"",Wild bird,Morbidity/Mortality,CA DFW/CAHFS
APHIS - HPAI Detections in Wild Birds,California,Sacramento,Canada goose,,EA/AM H5N1,,7/29/2022,7/25/2022,"",Wild bird,Morbidity/Mortality,CA DFW/CAHFS
APHIS - HPAI Detections in Wild Birds,California,Solano,American white pelican,,EA H5N1,,7/29/2022,7/26/2022,"",Wild bird,Morbidity/Mortality,CA DFW/CAHFS
APHIS - HPAI Detections in Wild Birds,California,Solano,American white pelican,,EA H5N1,,7/29/2022,7/26/2022,"",Wild bird,Morbidity/Mortality,CA DFW/CAHFS
APHIS - HPAI Detections in Wild Birds,California,Solano,Mute swan,,EA/AM H5N1,,7/29/2022,7/26/2022,"",Wild bird,Morbidity/Mortality,CA DFW/CAHFS
APHIS - HPAI Detections in Wild Birds,North Dakota,Grand Forks,American white pelican,,EA H5N1,,8/3/2022,7/25/2022,"",Wild bird,Morbidity/Mortality,NWDP
APHIS - HPAI Detections in Wild Birds,California,Siskiyou,Canada goose,,EA/AM H5N1,,8/5/2022,7/14/2022,"",Wild bird,Morbidity/Mortality,USFWS/USGS
APHIS - HPAI Detections in Wild Birds,Alaska,North Slope,Bald eagle,,EA/AM H5N1,,8/3/2022,4/27/2022,"",Wild bird,Morbidity/Mortality,AK DFG/USFWS
APHIS - HPAI Detections in Wild Birds,Alaska,North Slope,Parasitic jaeger,,EA/AM H5N1,,8/3/2022,6/30/2022,"",Wild bird,Morbidity/Mortality,AK DFG/USFWS
APHIS - HPAI Detections in Wild Birds,New Jersey,Salem,Black vulture,,EA H5N1,,7/18/2022,6/13/2022,"",Wild bird,Morbidity/Mortality,NJ DEP
APHIS - HPAI Detections in Wild Birds,Iowa,Clinton,American white pelican,,EA/AM H5N1,,7/14/2022,7/1/2022,"",Wild bird,Morbidity/Mortality,USFWS/USGS
APHIS - HPAI Detections in Wild Birds,Iowa,Clinton,American white pelican,,EA/AM H5N1,,7/20/2022,7/1/2022,"",Wild bird,Morbidity/Mortality,USFWS/USGS
APHIS - HPAI Detections in Wild Birds,Illinois,Carroll,American white pelican,,EA/AM H5N1,,7/14/2022,7/1/2022,"",Wild bird,Morbidity/Mortality,USFWS/USGS
APHIS - HPAI Detections in Wild Birds,Illinois,Carroll,American white pelican,,EA H5N1,,7/20/2022,7/1/2022,"",Wild bird,Morbidity/Mortality,USFWS/USGS
APHIS - HPAI Detections in Wild Birds,Massachusetts,Plymouth,Great black-backed gull,,EA H5N1,,7/29/2022,7/13/2022,"",Wild bird,Morbidity/Mortality,MA DFW/USGS
APHIS - HPAI Detections in Wild Birds,Minnesota,Marshall,American white pelican,,EA H5N1,,7/29/2022,7/19/2022,"",Wild bird,Morbidity/Mortality,USFWS/USGS
APHIS - HPAI Detections in Wild Birds,Colorado,Montezuma,Goose (unidentified),,EA/AM H5N1,,6/16/2022,6/10/2022,"",Wild bird,Morbidity/Mortality,CO Parks & Wildlife
APHIS - HPAI Detections in Wild Birds,Colorado,Mesa,Wood duck,,EA/AM H5N1,,8/3/2022,7/27/2022,"",Wild bird,Morbidity/Mortality,CO Parks & Wildlife
APHIS - HPAI Detections in Wild Birds,Oregon,Harney,American wigeon,,EA/AM H5N1,,8/5/2022,7/27/2022,"",Wild bird,Live bird,OR DFW
APHIS - HPAI Detections in Wild Birds,California,Placer,Canada goose,,EA/AM H5N1,,8/5/2022,7/29/2022,"",Wild bird,Morbidity/Mortality,CA DFW/CAHFS
APHIS - HPAI Detections in Wild Birds,California,Butte,American white pelican,,EA H5N1,,8/5/2022,8/1/2022,"",Wild bird,Morbidity/Mortality,CA DFW/CAHFS
APHIS - HPAI Detections in Wild Birds,California,Sacramento,Canada goose,,EA/AM H5N1,,8/5/2022,8/1/2022,"",Wild bird,Morbidity/Mortality,CA DFW/CAHFS
APHIS - HPAI Detections in Wild Birds,California,Plumas,American white pelican,,EA/AM H5N1,,8/5/2022,7/27/2022,"",Wild bird,Morbidity/Mortality,CA DFW/CAHFS
APHIS - HPAI Detections in Wild Birds,Wisconsin,La Crosse,Mallard,,EA H5N1,,8/5/2022,7/21/2022,"",Wild bird,Live bird,NWDP
APHIS - HPAI Detections in Wild Birds,Alaska,Matanuska-Susitna,Mallard,,EA/AM H5N1,,8/8/2022,7/27/2022,"",Wild bird,Live bird,NWDP
APHIS - HPAI Detections in Wild Birds,New Jersey,Sussex,Black vulture,,EA H5N1,,8/9/2022,8/2/2022,"",Wild bird,Morbidity/Mortality,NWDP
APHIS - HPAI Detections in Wild Birds,New Jersey,Sussex,Black vulture,,EA/AM H5N1,,8/9/2022,8/2/2022,"",Wild bird,Morbidity/Mortality,NWDP
APHIS - HPAI Detections in Wild Birds,New Jersey,Sussex,Black vulture,,EA/AM H5N1,,8/9/2022,8/2/2022,"",Wild bird,Morbidity/Mortality,NWDP
APHIS - HPAI Detections in Wild Birds,New Jersey,Sussex,Black vulture,,EA/AM H5N1,,8/9/2022,8/2/2022,"",Wild bird,Morbidity/Mortality,NWDP
APHIS - HPAI Detections in Wild Birds,New Jersey,Sussex,Black vulture,,EA/AM H5N1,,8/9/2022,8/2/2022,"",Wild bird,Morbidity/Mortality,NWDP
APHIS - HPAI Detections in Wild Birds,Nevada,Douglas,Great horned owl,,EA H5N1,,8/3/2022,7/22/2022,"",Wild bird,Morbidity/Mortality,NV DOW
APHIS - HPAI Detections in Wild Birds,California,Sonoma,Turkey vulture,,EA/AM H5N1,,8/9/2022,8/3/2022,"",Wild bird,Morbidity/Mortality,CA DFW/CAHFS
APHIS - HPAI Detections in Wild Birds,California,Sonoma,Turkey vulture,,EA/AM H5N1,,8/9/2022,8/3/2022,"",Wild bird,Morbidity/Mortality,CA DFW/CAHFS
APHIS - HPAI Detections in Wild Birds,California,Sonoma,Turkey vulture,,EA/AM H5N1,,8/9/2022,8/3/2022,"",Wild bird,Morbidity/Mortality,CA DFW/CAHFS
APHIS - HPAI Detections in Wild Birds,California,Mendocino,Wood duck,,EA/AM H5N1,,8/11/2022,8/5/2022,"",Wild bird,Morbidity/Mortality,CA DFW/CAHFS
APHIS - HPAI Detections in Wild Birds,California,Santa Clara,Canada goose,,EA/AM H5N1,,8/11/2022,8/5/2022,"",Wild bird,Morbidity/Mortality,CA DFW/CAHFS
APHIS - HPAI Detections in Wild Birds,California,Stanislaus,Canada goose,,EA/AM H5N1,,8/11/2022,8/8/2022,"",Wild bird,Morbidity/Mortality,CA DFW/CAHFS
APHIS - HPAI Detections in Wild Birds,California,Stanislaus,Canada goose,,EA/AM H5N1,,8/11/2022,8/8/2022,"",Wild bird,Morbidity/Mortality,CA DFW/CAHFS
APHIS - HPAI Detections in Wild Birds,California,Stanislaus,Muscovy duck,,EA/AM H5N1,,8/11/2022,8/8/2022,"",Wild bird,Morbidity/Mortality,CA DFW/CAHFS
APHIS - HPAI Detections in Wild Birds,California,Sacramento,Canada goose,,EA H5N1,,8/15/2022,8/9/2022,"",Wild bird,Morbidity/Mortality,CA DFW/CAHFS
APHIS - HPAI Detections in Wild Birds,Alaska,Kenai Peninsula,Tree swallow,,EA H5N1,,8/5/2022,7/12/2022,"",Wild bird,Morbidity/Mortality,AK DFG/USFWS
APHIS - HPAI Detections in Wild Birds,Alaska,North Slope,Glaucous gull,,EA/AM H5N1,,8/11/2022,7/1/2022,"",Wild bird,Morbidity/Mortality,AK DFG/USFWS
APHIS - HPAI Detections in Wild Birds,Florida,Orange,Black vulture,,EA/AM H5N1,,8/8/2022,7/31/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA/AM H5N1,,8/11/2022,8/2/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA/AM H5N1,,8/11/2022,8/2/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Orange,Black vulture,,EA H5N1,,8/11/2022,8/4/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Orange,Black vulture,,EA H5N1,,8/11/2022,8/4/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Orange,Black vulture,,EA H5N1,,8/11/2022,8/5/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Orange,Black vulture,,EA H5N1,,8/11/2022,7/27/2022,"",Wild bird,Morbidity/Mortality,FL FWCC
APHIS - HPAI Detections in Wild Birds,Florida,Orange,Black vulture,,EA/AM H5N1,,8/11/2022,8/4/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA/AM H5N1,,8/11/2022,8/5/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA/AM H5N1,,8/11/2022,8/3/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA/AM H5N1,,8/11/2022,8/3/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA/AM H5N1,,8/11/2022,8/4/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA/AM H5N1,,8/11/2022,7/31/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA/AM H5N1,,8/11/2022,7/30/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA/AM H5N1,,8/11/2022,7/30/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA/AM H5N1,,8/11/2022,7/30/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA/AM H5N1,,8/11/2022,7/30/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA/AM H5N1,,8/11/2022,7/28/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA/AM H5N1,,8/11/2022,7/28/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA/AM H5N1,,8/11/2022,8/1/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA H5N1,,8/15/2022,8/9/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Orange,Black vulture,,EA H5N1,,8/15/2022,8/8/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Orange,Mallard,,EA H5N1,,8/15/2022,8/6/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA H5N1,,8/15/2022,8/8/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Seminole,Black vulture,,EA H5N1,,8/15/2022,8/10/2022,"",Wild bird,Morbidity/Mortality,FL FWCC
APHIS - HPAI Detections in Wild Birds,Florida,Orange,Black vulture,,EA H5N1,,8/15/2022,8/9/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Orange,Black vulture,,EA H5N1,,8/15/2022,8/8/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Orange,Black vulture,,EA H5N1,,8/15/2022,8/8/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Orange,Black vulture,,EA H5N1,,8/15/2022,8/8/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Florida,Orange,Black vulture,,EA H5N1,,8/15/2022,8/8/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Washington,Whitman,Turkey vulture,,EA H5N1,,8/3/2022,7/25/2022,"",Wild bird,Morbidity/Mortality,WA DFW
APHIS - HPAI Detections in Wild Birds,Washington,Whitman,Turkey vulture,,EA H5N1,,8/3/2022,7/25/2022,"",Wild bird,Morbidity/Mortality,WA DFW
APHIS - HPAI Detections in Wild Birds,Washington,Whitman,Turkey vulture,,EA H5N1,,8/3/2022,7/25/2022,"",Wild bird,Morbidity/Mortality,WA DFW
APHIS - HPAI Detections in Wild Birds,Washington,King,Canada goose,,EA H5N1,,8/3/2022,7/13/2022,"",Wild bird,Morbidity/Mortality,WA DFW
APHIS - HPAI Detections in Wild Birds,Washington,Clallam,Bald eagle,,EA H5N1,,8/11/2022,7/30/2022,"",Wild bird,Morbidity/Mortality,WA DFW
APHIS - HPAI Detections in Wild Birds,Washington,Jefferson,Bald eagle,,EA/AM H5N1,,8/11/2022,7/29/2022,"",Wild bird,Morbidity/Mortality,WA DFW
APHIS - HPAI Detections in Wild Birds,Washington,Kitsap,Canada goose,,EA/AM H5N1,,8/11/2022,7/13/2022,"",Wild bird,Morbidity/Mortality,WA DFW
APHIS - HPAI Detections in Wild Birds,Washington,Kitsap,Canada goose,,EA H5N1,,8/11/2022,7/30/2022,"",Wild bird,Morbidity/Mortality,WA DFW
APHIS - HPAI Detections in Wild Birds,Washington,Benton,Caspian tern,,EA/AM H5N1,,8/11/2022,7/27/2022,"",Wild bird,Morbidity/Mortality,WA DFW
APHIS - HPAI Detections in Wild Birds,Washington,Benton,Caspian tern,,EA/AM H5N1,,8/11/2022,7/27/2022,"",Wild bird,Morbidity/Mortality,WA DFW
APHIS - HPAI Detections in Wild Birds,Florida,Broward,Crested caracara,,EA/AM H5N1,,7/29/2022,4/4/2022,"",Wild bird,Morbidity/Mortality,USGS
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA H5N1,,8/15/2022,8/7/2022,"",Wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Oregon,Multnomah,American white pelican,,EA H5N1,,8/18/2022,8/11/2022,"",Wild bird,Morbidity/Mortality,OR DFW
APHIS - HPAI Detections in Wild Birds,Oregon,Multnomah,American white pelican,,EA H5N1,,8/18/2022,8/8/2022,"",Wild bird,Morbidity/Mortality,OR DFW
APHIS - HPAI Detections in Wild Birds,Oregon,Washington,Canada goose,,EA H5N1,,8/18/2022,7/9/2022,"",Wild bird,Morbidity/Mortality,OR DFW
APHIS - HPAI Detections in Wild Birds,Oregon,Washington,Canada goose,,EA H5N1,,8/18/2022,7/27/2022,"",Wild bird,Morbidity/Mortality,OR DFW
