source,state,county,species_or_flock_type,flock_size,hpai_strain,outbreak_date,date_detected,date_collected,date_confirmed,woah_classification,sampling_method,submitting_agency
APHIS - HPAI Detections in Wild Birds,Wisconsin,Dunn,Canada goose,,EA/AM H5N1,,7/30/2024,12/14/2023,"",Wild bird,Morbidity/Mortality,WI DNR
APHIS - HPAI Detections in Wild Birds,Wisconsin,Dunn,Canada goose,,EA/AM H5N1,,7/30/2024,12/14/2023,"",Wild bird,Morbidity/Mortality,WI DNR
APHIS - HPAI Detections in Wild Birds,New York,Albany,Great horned owl,,EA/AM H5N1,,8/1/2024,4/2/2024,"",Wild bird,Morbidity/Mortality,NY DEC
APHIS - HPAI Detections in Wild Birds,New York,Clinton,American crow,,EA/AM H5N1,,8/1/2024,4/2/2024,"",Wild bird,Morbidity/Mortality,NY DEC
APHIS - HPAI Detections in Wild Birds,New York,Cayuga,Great horned owl,,EA/AM H5N1,,8/1/2024,3/28/2024,"",Wild bird,Morbidity/Mortality,NY DEC
APHIS - HPAI Detections in Wild Birds,New York,Clinton,American crow,,EA/AM H5N1,,8/1/2024,4/2/2024,"",Wild bird,Morbidity/Mortality,NY DEC
APHIS - HPAI Detections in Wild Birds,California,Sacramento,Peregrine falcon,,EA/AM H5N1,,8/1/2024,10/30/2023,"",Wild bird,Morbidity/Mortality,CA DFW/CAHFS
APHIS - HPAI Detections in Wild Birds,New York,Erie,Canada goose,,EA H5N1,,8/2/2024,1/29/2024,"",Wild bird,Morbidity/Mortality,NY DEC
APHIS - HPAI Detections in Wild Birds,North Dakota,Ramsey,Mallard,,EA/AM H5N1 mixed,,"",11/2/2023,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,Wisconsin,Burnet,Green-winged teal,,EA H5N1,,"",10/24/2023,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,Oregon,Benton,Great horned owl,,EA H5N1,,11/20/2023,11/5/2023,"",Wild bird,Morbidity/Mortality,OR DFW
APHIS - HPAI Detections in Wild Birds,Missouri,St. Louis,Snow goose,,EA/AM H5N1,,11/20/2023,11/9/2023,"",Wild bird,Morbidity/Mortality,MO Dept of Conservation
APHIS - HPAI Detections in Wild Birds,Missouri,St. Louis,Snow goose,,EA/AM H5N1,,11/20/2023,11/9/2023,"",Wild bird,Morbidity/Mortality,MO Dept of Conservation
APHIS - HPAI Detections in Wild Birds,Wyoming,Sheridan,Wild turkey,,EA H5,,8/9/2024,10/30/2023,"",Wild bird,Morbidity/Mortality,WY GFD
APHIS - HPAI Detections in Wild Birds,Florida,Brevard,Black vulture,,EA H5N1,,8/8/2024,7/27/2024,"",Captive wild bird,Morbidity/Mortality,Private (non-government) submission
APHIS - HPAI Detections in Wild Birds,Wisconsin,La Crosse,Green-winged teal,,EA/AM H5N1,,12/2/2023,11/10/2023,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,Wisconsin,La Crosse,Green-winged teal,,EA/AM H5N1 mixed,,12/2/2023,11/10/2023,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,Wisconsin,La Crosse,Northern shoveler,,EA/AM H5N1,,12/2/2023,11/10/2023,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,North Dakota,Emmons,Snow goose,,EA/AM H5N1,,11/21/2023,11/7/2023,"",Wild bird,Agency harvest,ND Game and Fish
APHIS - HPAI Detections in Wild Birds,North Dakota,Emmons,Snow goose,,EA/AM H5N1,,11/21/2023,11/8/2023,"",Wild bird,Agency harvest,ND Game and Fish
APHIS - HPAI Detections in Wild Birds,North Dakota,Emmons,Snow goose,,EA/AM H5N1,,11/21/2023,11/8/2023,"",Wild bird,Agency harvest,ND Game and Fish
APHIS - HPAI Detections in Wild Birds,Iowa,Cherokee,Rock pigeon,,EA H5,,7/26/2024,6/5/2024,"",Wild bird,Agency harvest,APHIS Wildlife Services
APHIS - HPAI Detections in Wild Birds,Louisiana,Livingston Parish,Canada goose,,EA/AM H5N1,,8/14/2024,11/21/2023,"",Wild bird,Morbidity/Mortality,SCWDS
APHIS - HPAI Detections in Wild Birds,Louisiana,Ouachita Parish,Snow goose,,EA/AM H5N1,,8/14/2024,12/11/2023,"",Wild bird,Morbidity/Mortality,SCWDS
APHIS - HPAI Detections in Wild Birds,Louisiana,Ouachita Parish,Snow goose,,EA H5N1,,8/14/2024,12/14/2023,"",Wild bird,Morbidity/Mortality,SCWDS
APHIS - HPAI Detections in Wild Birds,Florida,Collier,Bald eagle,,EA/AM H5N1,,8/14/2024,12/11/2023,"",Wild bird,Morbidity/Mortality,SCWDS
APHIS - HPAI Detections in Wild Birds,Kansas,Mitchell,Ross's goose,,EA/AM H5N1,,12/22/2023,12/7/2023,"",Wild bird,Morbidity/Mortality,SCWDS
APHIS - HPAI Detections in Wild Birds,Kansas,Mitchell,Ross's goose,,EA/AM H5N1,,12/22/2023,12/7/2023,"",Wild bird,Morbidity/Mortality,SCWDS
APHIS - HPAI Detections in Wild Birds,Kansas,Mitchell,Snow goose,,EA/AM H5N1,,12/22/2023,12/7/2023,"",Wild bird,Morbidity/Mortality,SCWDS
APHIS - HPAI Detections in Wild Birds,Kansas,Rooks,Snow goose,,EA H5N1,,12/22/2023,12/11/2023,"",Wild bird,Morbidity/Mortality,SCWDS
APHIS - HPAI Detections in Wild Birds,Kansas,Rooks,Snow goose,,EA/AM H5N1,,12/22/2023,12/11/2023,"",Wild bird,Morbidity/Mortality,SCWDS
APHIS - HPAI Detections in Wild Birds,Kansas,Rooks,Snow goose,,EA/AM H5N1,,12/22/2023,12/11/2023,"",Wild bird,Morbidity/Mortality,SCWDS
APHIS - HPAI Detections in Wild Birds,Kansas,Norton,Crow (unidentified),,EA/AM H5N1,,12/22/2023,12/12/2023,"",Wild bird,Morbidity/Mortality,SCWDS
APHIS - HPAI Detections in Wild Birds,Kansas,Norton,Ross's goose,,EA/AM H5N1,,12/22/2023,12/12/2023,"",Wild bird,Morbidity/Mortality,SCWDS
APHIS - HPAI Detections in Wild Birds,Kansas,Norton,Snow goose,,EA/AM H5N1,,12/22/2023,12/12/2023,"",Wild bird,Morbidity/Mortality,SCWDS
APHIS - HPAI Detections in Wild Birds,Kansas,Norton,Snow goose,,EA/AM H5N1,,12/22/2023,12/12/2023,"",Wild bird,Morbidity/Mortality,SCWDS
APHIS - HPAI Detections in Wild Birds,Kansas,Norton,Snow goose,,EA/AM H5N1,,12/22/2023,12/12/2023,"",Wild bird,Morbidity/Mortality,SCWDS
APHIS - HPAI Detections in Wild Birds,Kansas,Mitchell,Trumpeter swan,,EA/AM H5N1,,12/15/2023,12/3/2023,"",Wild bird,Morbidity/Mortality,SCWDS
APHIS - HPAI Detections in Wild Birds,Kansas,Pottawatomie,Snow goose,,EA/AM H5N1,,12/15/2023,12/4/2023,"",Wild bird,Morbidity/Mortality,SCWDS
APHIS - HPAI Detections in Wild Birds,Kansas,Pottawatomie,Snow goose,,EA/AM H5N1,,12/15/2023,12/4/2023,"",Wild bird,Morbidity/Mortality,SCWDS
APHIS - HPAI Detections in Wild Birds,Kansas,Pottawatomie,Snow goose,,EA/AM H5N1,,12/15/2023,12/4/2023,"",Wild bird,Morbidity/Mortality,SCWDS
APHIS - HPAI Detections in Wild Birds,Kansas,Pottawatomie,Snow goose,,EA/AM H5N1,,12/15/2023,12/4/2023,"",Wild bird,Morbidity/Mortality,SCWDS
APHIS - HPAI Detections in Wild Birds,Kansas,Pottawatomie,Snow goose,,EA/AM H5N1,,12/15/2023,12/4/2023,"",Wild bird,Morbidity/Mortality,SCWDS
APHIS - HPAI Detections in Wild Birds,Kansas,Pottawatomie,Ross's goose,,EA H5,,12/15/2023,12/4/2023,"",Wild bird,Morbidity/Mortality,SCWDS
APHIS - HPAI Detections in Wild Birds,Kansas,Pottawatomie,Ross's goose,,EA/AM H5N1,,12/15/2023,12/4/2023,"",Wild bird,Morbidity/Mortality,SCWDS
APHIS - HPAI Detections in Wild Birds,Kansas,Pottawatomie,Ross's goose,,EA/AM H5N1,,12/15/2023,12/4/2023,"",Wild bird,Morbidity/Mortality,SCWDS
APHIS - HPAI Detections in Wild Birds,Kansas,Pottawatomie,Ross's goose,,EA/AM H5N1,,12/15/2023,12/4/2023,"",Wild bird,Morbidity/Mortality,SCWDS
APHIS - HPAI Detections in Wild Birds,Kansas,Pottawatomie,Ross's goose,,EA/AM H5N1,,12/15/2023,12/4/2023,"",Wild bird,Morbidity/Mortality,SCWDS
APHIS - HPAI Detections in Wild Birds,Kansas,Barton,Ross's goose,,EA/AM H5N1,,12/15/2023,12/4/2023,"",Wild bird,Morbidity/Mortality,SCWDS
APHIS - HPAI Detections in Wild Birds,Kansas,Montgomery,Snow goose,,EA/AM H5N1,,12/15/2023,12/5/2023,"",Wild bird,Morbidity/Mortality,SCWDS
APHIS - HPAI Detections in Wild Birds,Virginia,Shenandoah,Bald eagle,,EA H5N1,,1/5/2024,2/5/2023,"",Captive wild bird,Morbidity/Mortality,SCWDS/USFWS National Eagle Repository
APHIS - HPAI Detections in Wild Birds,Maryland,St. Mary's,Bald eagle,,EA H5N1,,1/5/2024,2/11/2023,"",Captive wild bird,Morbidity/Mortality,SCWDS/USFWS National Eagle Repository
APHIS - HPAI Detections in Wild Birds,Idaho,Bear Lake,Bald eagle,,EA H5N1,,1/5/2024,12/2/2022,"",Captive wild bird,Morbidity/Mortality,SCWDS/USFWS National Eagle Repository
APHIS - HPAI Detections in Wild Birds,West Virginia,Jefferson,Bald eagle,,EA H5N1,,1/5/2024,2/25/2023,"",Wild bird,Morbidity/Mortality,SCWDS/USFWS National Eagle Repository
APHIS - HPAI Detections in Wild Birds,Florida,Orange,Bald eagle,,EA/AM H5N1,,1/5/2024,Unknown,"",Wild bird,Morbidity/Mortality,SCWDS/USFWS National Eagle Repository
APHIS - HPAI Detections in Wild Birds,Wisconsin,Sheboygan,Bald eagle,,EA/AM H5N1,,1/5/2024,5/6/2022,"",Wild bird,Morbidity/Mortality,SCWDS/USFWS National Eagle Repository
APHIS - HPAI Detections in Wild Birds,Wisconsin,Door,Bald eagle,,EA H5N1,,1/5/2024,5/8/2022,"",Wild bird,Morbidity/Mortality,SCWDS/USFWS National Eagle Repository
APHIS - HPAI Detections in Wild Birds,Wisconsin,Brown,Bald eagle,,EA H5N1,,1/5/2024,5/1/2022,"",Wild bird,Morbidity/Mortality,SCWDS/USFWS National Eagle Repository
APHIS - HPAI Detections in Wild Birds,Wisconsin,Marinette,Bald eagle,,EA H5N1,,1/5/2024,10/3/2022,"",Wild bird,Morbidity/Mortality,SCWDS/USFWS National Eagle Repository
APHIS - HPAI Detections in Wild Birds,Delaware,New Castle,Bald eagle,,EA H5N1,,1/5/2024,Unknown,"",Captive wild bird,Morbidity/Mortality,SCWDS/USFWS National Eagle Repository
APHIS - HPAI Detections in Wild Birds,Delaware,New Castle,Bald eagle,,EA H5N1,,1/5/2024,Unknown,"",Captive wild bird,Morbidity/Mortality,SCWDS/USFWS National Eagle Repository
APHIS - HPAI Detections in Wild Birds,Virginia,York,Bald eagle,,EA/AM H5N1,,1/5/2024,12/10/2022,"",Wild bird,Morbidity/Mortality,SCWDS/USFWS National Eagle Repository
APHIS - HPAI Detections in Wild Birds,Pennsylvania,Schuylkill,Bald eagle,,EA H5N1,,1/5/2024,1/10/2023,"",Wild bird,Morbidity/Mortality,SCWDS/USFWS National Eagle Repository
APHIS - HPAI Detections in Wild Birds,Pennsylvania,Chester,Bald eagle,,EA H5N1,,1/5/2024,1/10/2023,"",Wild bird,Morbidity/Mortality,SCWDS/USFWS National Eagle Repository
APHIS - HPAI Detections in Wild Birds,Pennsylvania,Delaware,Bald eagle,,EA H5N1,,1/5/2024,2/15/2023,"",Wild bird,Morbidity/Mortality,SCWDS/USFWS National Eagle Repository
APHIS - HPAI Detections in Wild Birds,Michigan,Alger,Bald eagle,,EA H5N1,,1/5/2024,Unknown,"",Wild bird,Morbidity/Mortality,SCWDS/USFWS National Eagle Repository
APHIS - HPAI Detections in Wild Birds,Wisconsin,La Crosse,Gadwall,,EA/AM H5N1,,"",11/12/2023,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,Wisconsin,La Crosse,Northern pintail,,EA/AM H5N1,,"",11/12/2023,"",Wild bird,Hunter harvest,NWDP
APHIS - HPAI Detections in Wild Birds,Alaska,Matanuska-Susitna,Mallard,,H5,,8/21/2024,3/7/2024,"",Wild bird,Live bird,NWDP
APHIS - HPAI Detections in Wild Birds,Alaska,Matanuska-Susitna,Mallard,,EA H5,,8/21/2024,3/7/2024,"",Wild bird,Live bird,NWDP
